REASON,count,mae,medae
Graffiti,2659,20.205116738948806,14.06416650764093
Abandoned Bicycle,120,13.279270291027093,9.948844079057675
Trees,14020,12.442314352862931,4.993826651210348
Catchbasin,631,11.27200380971855,4.789846662318767
Building,7224,10.889990830860166,4.139705618506683
Street Lights,11649,9.202688586764868,3.162514707282025
Sidewalk Cover / Manhole,380,7.955950386728508,2.8682142057177535
Traffic Management & Engineering,313,7.491291125801119,2.9280718903331735
Pothole,124,6.829228725520589,3.6436126442594956
Housing,9116,6.135016202492171,2.5972756542611806
Recycling,20411,5.4751249551477725,3.16888112965806
Park Maintenance & Safety,12663,5.018690225861678,1.811214082357784
Signs & Signals,15852,4.925464108837028,1.1121271346021764
Fire Hydrant,384,4.7246067507618426,2.647853940309706
Administrative & General Requests,2359,4.018538796654564,0.6949313805093942
Highway Maintenance,26513,3.1409081055955816,0.534977863833592
Enforcement & Abandoned Vehicles,64385,2.581326427915551,0.14987098465121396
Employee & General Comments,2010,2.460402779528252,0.4481767227031953
General Request,298,2.122639941530084,0.22249530436104648
Environmental Services,8184,1.7008866726325318,1.303259470251767
Health,2589,1.62919425919767,0.7975888999264826
Noise Disturbance,199,1.4761004798027093,0.7309093216149241
Notification,142,1.2250576333578382,0.9918647759991995
Programs,107,1.1030725922557865,0.5712810670370665
Animal Issues,6588,1.100825966462673,0.48782804646051514
Street Cleaning,90285,0.4514627333561427,0.10966993978251234
Sanitation,23424,0.34062925868980326,0.17725257020420337
Code Enforcement,67988,0.2829181540052653,0.15085082759235136
Needle Program,18137,0.09613117802808895,0.038090801866997724
