model,rmse_log,mae_log,r2_log,rmse_days,mae_days,r2_days,median_ae_days,mape,wape,mase,improvement_%
lgb_tuned_v4,0.6502906880588964,0.3770591266262028,0.5714026991195887,8.7343,2.6958,0.3315,0.2555,514.0588,74.5818,0.5045,32.64
lgb_huber_best,0.6468891275519326,0.37687649495698794,0.5758748118704706,8.7422,2.7048,0.3303,0.2607,514.8892,74.8288,0.5062,32.41
lgb_quantile_v3ref,0.6687921285495875,0.37519445614880925,0.5466676961078661,8.7949,2.7365,0.3222,0.2186,502.6017,75.7066,0.5121,31.62
lgb_fair_best,0.6458047878957558,0.38362040457926333,0.57729548905887,8.8855,2.7492,0.3081,0.2622,497.125,76.057,0.5145,31.3
blended_ensemble_v4,0.6458047878957558,0.38362040457926333,0.57729548905887,8.8855,2.7492,0.3081,0.2622,497.125,76.057,0.5145,31.3
meta_ensemble_v4,0.6458047878957558,0.38362040457926333,0.57729548905887,8.8855,2.7492,0.3081,0.2622,497.125,76.057,0.5145,31.3
hurdle_soft_0.5d,0.6428653068008303,0.3798593657739452,0.5811347425084966,8.973,2.7544,0.2944,0.2561,482.7308,76.2015,0.5154,31.17
lgb_l2_mono,0.6477069375811488,0.3863541734308735,0.574801759109338,8.908,2.7648,0.3046,0.2695,524.4852,76.4888,0.5174,30.91
hurdle_hard_0.5d,0.6964967397268416,0.3907945048322601,0.5083313276765653,8.6277,2.8115,0.3477,0.2155,672.4198,77.7827,0.5261,29.74
lgb_tweedie_best,N/A,N/A,N/A,8.4526,3.1057,0.3739,0.2968,1054.995,85.9218,0.5812,22.39
mean_baseline,1.0217977703512842,0.8422214679746327,-0.058191485774997664,10.8877,4.0018,-0.0388,1.4312,1733.3787,110.713,0.7489,0.0
