experiment,mae_days,median_ae_days,rmse_days,r2_days,improvement_pct,beats_baseline
walkforward_mean_mae,2.5806029784852442,,,,,True
catboost_mae,2.669102405541417,0.2041557924481508,8.665295102263784,0.3419853881085906,33.3,True
xgboost_absoluteerror,2.6950118909070775,0.21911183918515845,8.789690245573347,0.3229574497400547,32.66,True
v4_blended_baseline,2.7043221253932668,0.2382585025186823,8.746463027568971,0.3296003914519908,32.42,False
recency_decay_1.0,2.7063958384692715,0.2592476922305547,8.76696238906544,0.3264542354448916,32.37,False
deep_blend_ensemble,2.7159162251069744,0.2356354238409921,8.800515992392427,0.32128867537314243,32.13,False
recency_decay_0.5,2.724094594259284,0.2584036452431355,8.793133899438876,0.3224268378864853,31.93,False
recency_decay_2.0,2.7276528403319467,0.2556411592299097,8.802096505320097,0.32104486958958267,31.84,False
deep_optuna_huber,2.729908758773314,0.25244178513035026,8.84678389540455,0.314133390892984,31.78,False
catboost_rmse,2.7490068306501114,0.26724325962908946,8.913013965407904,0.3038256841278082,31.31,False
xgboost_squarederror,2.755559693360874,0.2608840464662622,8.91750076811436,0.30312460074017544,31.14,False
xgboost_pseudohubererror,2.7878175092620356,0.25432245122061836,9.073967754099458,0.27845522539186807,30.34,False
